timestamp,ms_played,track_name,artist_name,album_name,track_uri
2012-07-02T22:48:10Z,413576,Rumour Has It / Someone Like You (Glee Cast Version),Glee Cast,Rumour Has It / Someone Like You (Glee Cast Version),spotify:track:4t0kZsvaPIRcnJ3k20briv
2012-07-02T23:02:10Z,211675,All You,The Cataracs,All You,spotify:track:1VMTt3gjqQVQfSS4oEaPRH
2012-07-02T23:36:30Z,443573,Walking On Sunshine,Aly & AJ,Into The Rush,spotify:track:09BvvHet0SXvdZKAyUzIWk
2012-07-02T23:40:39Z,196591,Come Clean,Hilary Duff,Metamorphosis,spotify:track:3fRlFGB8bVvpRuUt3iJlwS
2012-07-02T23:47:24Z,189760,Beat Of My Heart,Hilary Duff,Most Wanted,spotify:track:4EFE0Cvf3caqwaM5K3udBR
2012-07-02T23:51:15Z,183133,Girl Can Rock,Hilary Duff,Most Wanted,spotify:track:3bFuHZL2CtgqY6HBOIMDss
2012-07-03T00:01:02Z,210305,Wake Up,Hilary Duff,Radio Disney Jams 15th B-Day Edition,spotify:track:5l6m9SMTb45XufbhFXYNK6
2012-07-04T02:27:31Z,188466,Life's What You Make It - From “Hannah Montana 2”,Hannah Montana,Hannah Montana 2 / Meet Miley Cyrus,spotify:track:1pEc2SNzgGvbmvcapQ566n
2012-07-04T18:40:03Z,211026,Walk This Way,Aerosmith,Aerosmith's Greatest Hits,spotify:track:2vX5WL7s6UdeQyweZEx7PP
2012-07-05T10:15:26Z,360410,Incredible God/Praise,Youthful Praise,Live! The Praise… The Worship,spotify:track:4jhlpnsvWGVzquDyJhhpty
2012-07-05T10:22:57Z,188240,God in Me,Mary Mary,WOW Gospel 2011,spotify:track:7ja4FJdvk9zL7V2TjKb953
2012-07-06T00:25:53Z,257813,Sparks Fly,Taylor Swift,Speak Now,spotify:track:6d9IiDcFxtFVIvt9pCqyGH
2012-07-06T00:29:36Z,222597,You Belong With Me,Taylor Swift,Fearless,spotify:track:3GCL1PydwsLodcpv0Ll1ch
2012-07-06T00:33:29Z,233327,Mean,Taylor Swift,Speak Now,spotify:track:5yEPktRqvIhko5QFF3aBhQ
2012-07-06T00:39:24Z,224867,If This Was A Movie,Taylor Swift,If This Was A Movie,spotify:track:2i8r4AhrUsRDXYVgwAvc9B
2012-07-06T00:46:01Z,233359,Love Story,Taylor Swift,Fearless,spotify:track:1vrd6UOGamcKNGnSHJQlSt
2012-07-06T00:50:28Z,265666,The Story Of Us,Taylor Swift,Speak Now,spotify:track:3RBluWmSoG2pGA1OePzGJI
